Date,Open,High,Low,Close,Adj Close,Volume
2016-07-11,4519.5,4563.5,4515.75,4549.5,4549.5,182422
2016-07-12,4552.75,4582,4546.75,4569.75,4569.75,190097
2016-07-13,4571.75,4584.5,4558.5,4561.25,4561.25,190027
2016-07-14,4561,4608.25,4553.5,4590,4590,191874
2016-07-15,4585,4603.5,4550.25,4579.25,4579.25,171716
2016-07-18,4580,4621.75,4577,4608.25,4608.25,183261
2016-07-19,4609.5,4611.25,4588.25,4606.5,4606.5,165175
2016-07-20,4609,4659,4597.75,4650.5,4650.5,182311
2016-07-21,4654,4662.25,4626.75,4638.25,4638.25,181960
2016-07-22,4638.5,4664.5,4628.5,4657.25,4657.25,152974
2016-07-25,4659.25,4669.5,4643.5,4653.75,4653.75,146154
2016-07-26,4658.5,4688.25,4641,4663.75,4663.75,209762
2016-07-27,4691.25,4714,4676.75,4707.75,4707.75,230410
2016-07-28,4710.25,4732,4689.5,4719.75,4719.75,220001
2016-07-29,4731.75,4736.5,4709,4726.75,4726.75,207360
2016-08-01,4737.5,4760.25,4721,4744.5,4744.5,199516
2016-08-02,4749.25,4759.5,4681.75,4714.25,4714.25,261263
2016-08-03,4713.25,4729.25,4698,4728.25,4728.25,170596
2016-08-04,4726.5,4747,4715,4743.75,4743.75,167881
2016-08-05,4745,4797.75,4742.5,4783,4783,180947
2016-08-08,4784.75,4800.75,4766.25,4779.25,4779.25,132186
2016-08-09,4780.5,4807.75,4777.5,4791.75,4791.75,134336
2016-08-10,4793.5,4800.25,4767.25,4781.5,4781.5,141495
2016-08-11,4782.25,4811,4775.75,4800,4800,147601
2016-08-12,4800,4806.75,4787,4804.25,4804.25,131960
2016-08-15,4806.75,4835.25,4805,4822.75,4822.75,130170
2016-08-16,4822.75,4824.5,4796.5,4798.5,4798.5,156061
2016-08-17,4800.75,4809.75,4772,4804,4804,197778
2016-08-18,4808.25,4814,4792.75,4808.5,4808.5,149002
2016-08-19,4808,4816.75,4785,4807,4807,194623
2016-08-22,4809.25,4818,4789.5,4811.75,4811.75,196397
2016-08-23,4809.25,4836.75,4807.75,4817,4817,160448
2016-08-24,4818.5,4823.5,4770.75,4786.25,4786.25,190472
2016-08-25,4786.5,4794,4768.25,4782.25,4782.25,194394
2016-08-26,4783.5,4817.5,4757.25,4785.75,4785.75,281261
2016-08-29,4786,4805.75,4774,4793.25,4793.25,146925
2016-08-30,4795,4798.5,4759.75,4776,4776,186259
2016-08-31,4778.25,4779.25,4751.5,4773.75,4773.75,198477
2016-09-01,4774,4795.25,4749.5,4777.5,4777.5,248348
2016-09-02,4777.5,4817.75,4774.25,4795.25,4795.25,227919
2016-09-06,4801.25,4831.5,4782.25,4827.5,4827.5,208188
2016-09-07,4830.25,4839.5,4812.5,4828.75,4828.75,193455
2016-09-08,4827.75,4837,4789.5,4796,4796,251333
2016-09-09,4796,4798,4665,4671,4671,265154
2016-09-12,4671,4772,4629,4766.75,4766.75,178342
2016-09-13,4763.25,4764.75,4699.25,4727.75,4727.75,142822
2016-09-14,4732.75,4771,4724,4732.5,4732.5,77624
2016-09-15,4734,4826.75,4720.5,4817.75,4817.75,61726
2016-09-16,4813.25,4828.75,4799,4817,4817,285889
2016-09-19,4814.75,4841.75,4782.5,4794.25,4794.25,235031
2016-09-20,4796.75,4820.5,4790,4798.5,4798.5,195027
2016-09-21,4800,4854.5,4788.5,4850,4850,291231
2016-09-22,4849,4892.25,4842.75,4886.25,4886.25,196512
2016-09-23,4887.25,4889.75,4848.25,4856.5,4856.5,197323
2016-09-26,4852,4859.5,4807.5,4815,4815,209587
2016-09-27,4813.75,4864.5,4800.75,4860.75,4860.75,227156
2016-09-28,4857.5,4873.25,4844.75,4868.25,4868.25,208679
2016-09-29,4866.75,4876.5,4812.5,4844.25,4844.25,306337
2016-09-30,4839.25,4885.5,4811.75,4870.25,4870.25,248154
2016-10-03,4867.25,4879.5,4842.75,4865.75,4865.75,177125
2016-10-04,4866.75,4888,4836.25,4857.5,4857.5,276978
2016-10-05,4856.5,4888.5,4849.25,4873.5,4873.5,182962
2016-10-06,4874,4881,4845.5,4872,4872,187196
2016-10-07,4870.25,4883.75,4834.75,4859,4859,281205
2016-10-11,4892,4897.25,4798,4827,4827,316603
2016-10-12,4822.25,4842,4800.25,4813.5,4813.5,234222
2016-10-13,4804.75,4813,4754.5,4796,4796,297938
2016-10-14,4796,4841,4786.25,4804.25,4804.25,237878
2016-10-17,4803.5,4810.5,4781,4803.25,4803.25,179668
2016-10-18,4802.25,4856.75,4799.75,4827,4827,205551
2016-10-19,4823.75,4840.25,4811,4830.25,4830.25,148339
2016-10-20,4828.25,4847.25,4798.75,4843.75,4843.75,248117
2016-10-21,4844.25,4849,4814.75,4843.25,4843.25,188661
